,negativo,positivo,Total
strived,0,1,1
striving,0,1,1
stro,1,1,2
strokes,0,1,1
stroll,0,2,2
stron,0,1,1
strong,120,446,566
stronge,27,96,123
strongest,5,30,35
strongl,1,0,1
strongly,36,58,94
strozk,0,2,2
struck,1,10,11
structural,0,4,4
structure,2,1,3
struggle,3,2,5
struggled,2,0,2
struggles,0,4,4
struggling,6,1,7
strzok,25,27,52
strzokhow,0,1,1
ststement,0,1,1
stu,7,6,13
stua,8,7,15
stubborn,4,3,7
stubbornly,0,1,1
stuck,8,2,10
studded,0,1,1
studends,1,0,1
student,5,14,19
students,6,31,37
studied,2,1,3
studies,0,3,3
studio,2,5,7
study,13,20,33
studying,2,2,4
stuff,22,24,46
stuffed,2,1,3
stumble,1,2,3
stumbles,0,1,1
stumbling,1,3,4
stump,3,0,3
stunne,0,1,1
stunned,2,1,3
stunning,2,15,17
stuns,0,1,1
stunt,2,3,5
stunts,1,1,2
stupdity,0,1,1
stupendous,0,2,2
stupid,40,12,52
stupidest,1,0,1
stupidity,7,11,18
stupidly,10,4,14
style,8,14,22
stymie,0,1,1
su,2,2,4
sub,1,0,1
subcommittee,1,2,3
subject,15,28,43
subjected,0,2,2
subjects,3,17,20
submarine,2,2,4
submission,1,2,3
submit,3,2,5
submittal,0,1,1
submitted,3,6,9
submitting,0,2,2
suboptimal,1,0,1
subp,0,1,1
subpoena,13,14,27
subpoenaed,2,1,3
subpoenas,4,8,12
subscribers,5,1,6
subscribing,1,0,1
subscription,1,2,3
subscriptions,1,1,2
subsequent,1,0,1
subsidies,2,3,5
subsidize,4,0,4
subsidizes,2,1,3
subsidizing,2,1,3
subsidy,1,0,1
substance,5,8,13
substandard,0,1,1
substantial,0,7,7
substantially,16,15,31
substantialy,1,0,1
substantiate,0,1,1
substantive,1,2,3
substitute,2,0,2
subtle,0,1,1
suburban,2,2,4
suburbs,3,0,3
subve,2,4,6
subversive,0,2,2
subverting,1,0,1
subverts,1,0,1
subway,0,1,1
succ,0,1,1
succe,0,1,1
succeed,1,16,17
succeeded,2,2,4
succeeding,4,0,4
success,25,120,145
successes,0,8,8
successfactors,0,1,1
successfu,0,1,1
successful,20,111,131
successfully,4,6,10
successo,0,2,2
succinct,0,1,1
succinctly,1,0,1
sucess,0,1,1
suck,4,0,4
sucke,1,0,1
suckers,1,0,1
sucking,1,2,3
sucks,6,3,9
sudan,1,1,2
sudden,7,2,9
suddenly,1,1,2
sudduth,0,1,1
sue,9,14,23
sued,5,7,12
sues,1,1,2
suffe,3,4,7
suffered,12,3,15
suffering,20,5,25
suffers,4,2,6
sufficient,2,1,3
suffocating,1,0,1
suffolk,1,3,4
suffrage,0,2,2
suga,2,3,5
suggest,5,10,15
suggested,9,7,16
suggestin,1,0,1
suggesting,3,5,8
suggestion,2,4,6
suggestions,0,2,2
suggests,1,9,10
suicidal,1,0,1
suicide,6,2,8
suing,5,3,8
suit,3,3,6
suite,0,3,3
suited,1,0,1
suites,0,1,1
suits,0,2,2
suleiman,0,1,1
suleimani,0,1,1
sullivan,3,5,8
sulzberge,1,2,3
sum,1,1,2
summ,0,2,2
summarize,2,0,2
summarized,0,1,1
summary,1,2,3
summe,4,9,13
summed,0,3,3
summer,0,1,1
summit,10,73,83
sumo,0,1,1
sums,5,4,9
sun,3,4,7
sund,0,1,1
sunday,9,68,77
sundayfutures,0,1,1
sung,0,1,1
sunherald,0,1,1
sunny,1,1,2
sunrise,0,1,1
sunset,0,2,2
sunshine,0,3,3
sununu,2,1,3
suny,0,1,1
sup,1,0,1
supct,2,0,2
supe,22,35,57
superbowl,1,4,5
superbowlsunday,0,1,1
supercuts,0,1,1
superdome,0,1,1
superheroes,0,2,2
superintendent,0,1,1
superio,2,7,9
superma,0,1,1
superman,1,1,2
supermario,0,1,1
supermarket,1,0,1
superpac,1,1,2
superpacs,0,1,1
superpowe,0,2,2
supersaturday,0,2,2
supersede,1,0,1
superseded,0,1,1
supersonic,0,1,1
supersta,1,2,3
superstorm,1,0,1
supertuesday,1,23,24
supervision,1,1,2
supervisory,0,2,2
supp,1,2,3
supplement,0,1,1
supplemental,1,0,1
supplementing,0,1,1
supplied,0,5,5
suppliers,1,2,3
supplies,2,14,16
supply,8,18,26
supplying,0,1,1
suppo,99,411,510
support,0,3,3
supporte,7,51,58
supported,10,15,25
supporters,34,96,130
supporting,6,41,47
supportive,1,6,7
supports,8,55,63
supportstrump,0,1,1
suppose,0,1,1
supposed,24,9,33
supposedly,10,3,13
suppress,0,3,3
suppressed,0,2,2
suppressing,0,2,2
suppression,6,10,16
supremacists,0,1,1
supremacy,0,3,3
supreme,51,89,140
supremely,1,1,2
supremest,1,0,1
suprise,1,0,1
supteme,0,1,1
sur,0,1,1
sure,27,114,141
surely,1,0,1
suresnes,0,2,2
surface,0,3,3
surfaced,0,1,1
surfaces,0,1,1
surge,7,20,27
surged,2,2,4
surgeo,0,1,1
surgeon,2,4,6
surgery,3,1,4
surges,0,13,13
surgical,0,2,2
surging,4,9,13
suribachi,0,2,2
surp,1,0,1
surpasses,0,1,1
surpassing,0,1,1
surplus,4,6,10
surpluses,1,0,1
surprise,11,21,32
surprised,10,21,31
surprises,0,2,2
surprising,2,5,7
surprisingly,3,4,7
surreal,0,2,2
surrende,0,5,5
surrendered,1,1,2
surrogate,1,0,1
surrogates,0,1,1
surround,1,1,2
surrounded,3,3,6
surrounding,2,1,3
survailence,0,1,1
surveil,0,2,2
surveillance,12,19,31
surveilled,0,2,2
survey,2,6,8
surveys,1,0,1
survival,1,3,4
survive,4,4,8
survived,0,1,1
survives,0,1,1
surviving,1,3,4
survivo,1,0,1
survivors,0,5,5
susan,3,15,18
susceptible,1,1,2
suspect,4,5,9
suspected,2,0,2
suspects,2,1,3
suspend,0,9,9
suspended,9,5,14
suspending,1,3,4
suspends,3,1,4
suspensi,1,0,1
suspension,0,1,1
suspicions,0,1,1
suspicious,0,1,1
sussmann,0,1,1
sustain,0,1,1
sustainable,0,1,1
sustained,2,2,4
sustaining,0,1,1
susteren,1,0,1
sutherland,0,2,2
suv,0,1,1
suzuki,0,1,1
sw,0,1,1
swabs,0,1,1
swag,0,1,1
swagge,1,0,1
swalwell,3,0,3
swamp,32,28,60
swamped,3,0,3
swampman,2,0,2
swap,2,0,2
swapped,0,1,1
swapping,1,0,1
swarms,0,1,1
sway,1,1,2
swaying,0,1,1
swea,0,7,7
swearing,3,6,9
sweat,2,4,6
sweating,1,0,1
sweats,1,0,1
swecke,0,1,1
swecker,1,0,1
sweden,3,9,12
swedish,0,1,1
sweep,0,1,1
sweeping,0,5,5
sweet,1,9,10
sweethea,2,0,2
swept,0,1,1
swift,0,4,4
swiftly,1,4,5
swimmers,0,1,1
swine,10,3,13
swing,8,13,21
swinging,1,1,2
swipe,3,1,4
swirling,0,1,1
swiss,1,1,2
switch,1,6,7
switched,0,2,2
switzerland,2,13,15
swmxfvfto,0,1,1
swoop,1,0,1
sword,1,1,2
swore,0,2,2
sworn,5,12,17
sylveste,0,1,1
symbol,0,1,1
symbolism,0,1,1
symbols,0,1,1
sympathies,9,3,12
sympathizers,2,0,2
sympathy,1,0,1
symptoms,2,3,5
synagogue,1,3,4
synagogues,0,1,1
syndicated,0,1,1
syndrome,3,11,14
synthetic,1,0,1
syracuse,0,4,4
syria,50,47,97
syrian,9,11,20
syrianrefugees,0,1,1
syrians,3,2,5
syrianstrikes,0,1,1
sys,0,1,1
syst,0,1,1
syste,1,0,1
systematic,0,1,1
systemic,1,0,1
systems,5,2,7
sz,0,1,1
ta,0,3,3
tabas,0,2,2
tabl,0,1,1
table,8,15,23
tables,3,2,5
tablet,0,1,1
tabloid,1,0,1
tabloidsaving,0,1,1
tabulation,1,2,3
tack,0,1,1
tackling,0,1,1
tacky,1,0,1
taco,0,1,1
tactic,2,0,2
tactical,0,1,1
tactician,0,1,1
tactics,6,6,12
tad,1,0,1
tail,0,1,1
tailgate,0,1,1
tails,0,1,1
tainted,5,5,10
taiwan,1,1,2
taiwanese,1,0,1
takeaselfie,0,1,1
takeaways,0,1,1
takebackday,3,4,7
takebackthehouse,0,1,1
takedown,1,2,3
taken,78,64,142
takenotes,0,1,1
takeove,1,6,7
takers,1,1,2
takes,28,34,62
taking,85,100,185
tal,0,1,1
tale,2,3,5
talent,23,24,47
talentand,1,0,1
talented,6,48,54
talents,2,7,9
taliban,9,6,15
talk,88,169,257
talke,1,0,1
talked,12,30,42
talkers,2,1,3
talking,70,122,192
talks,29,50,79
tall,0,6,6
tallahassee,0,5,5
tallest,0,1,1
tally,0,1,1
tama,1,0,1
tamara,1,1,2
tamed,0,1,1
tammy,1,7,8
tampa,0,22,22
tampered,0,1,1
tampering,1,0,1
tamping,1,0,1
tan,0,1,1
tanden,1,0,1
tangible,0,1,1
tangled,1,0,1
tanisha,0,1,1
tank,8,6,14
tanked,6,3,9
tankers,1,1,2
tanking,1,0,1
tanks,0,1,1
tantalizing,0,1,1
tantamount,1,0,1
tantrum,2,2,4
taoiseach,1,1,2
taormina,0,2,2
tape,11,13,24
taped,3,0,3
tapes,4,2,6
tapestry,0,1,1
tapp,1,0,1
tappe,2,3,5
tapped,1,0,1
tappedand,0,1,1
tapping,0,3,3
tara,0,1,1
tarc,0,1,1
target,3,21,24
targeted,13,9,22
targeti,1,0,1
targeting,13,14,27
targets,2,3,5
tariff,18,15,33
tariffed,10,0,10
tariffs,94,112,206
tarkanian,0,2,2
tarmac,4,1,5
tarnished,1,1,2
tarp,1,0,1
tarrifs,0,1,1
task,6,55,61
tasks,1,0,1
taste,2,3,5
tata,1,1,2
tate,0,12,12
tatters,2,0,2
tattoo,0,1,1
taught,0,2,2
taunt,1,0,1
taunted,2,0,2
taunting,1,0,1
tax,206,177,383
taxation,2,0,2
taxcuts,0,2,2
taxcutsandjobsact,1,2,3
taxday,2,2,4
taxed,5,7,12
taxes,112,100,212
taxesjust,0,1,1
taxesmedia,1,0,1
taxi,1,0,1
taxicab,0,1,1
taxing,0,1,1
taxis,1,0,1
taxpay,0,1,1
taxpaye,12,7,19
taxpayers,7,11,18
taxplan,0,1,1
taxrefo,1,1,2
taxreform,3,10,13
taylo,6,14,20
tayyip,0,2,2
tbt,0,11,11
tca,0,2,2
tcompletely,0,1,1
tcot,1,16,17
tds,1,1,2
tdswarning,0,2,2
te,0,3,3
tea,2,29,31
teach,1,3,4
teache,1,6,7
teachers,3,18,21
teaches,1,1,2
teaching,1,1,2
team,37,169,206
teamamerica,0,1,1
teambrandi,1,5,6
teamdonaldtrump,0,1,1
teamed,1,0,1
teamgilbert,0,1,1
teamian,0,1,1
teaminfinity,0,1,1
teamkenya,1,0,1
teamkevin,0,4,4
teamleeza,0,5,5
teammates,0,1,1
teamno,0,1,1
teams,2,25,27
teamscalise,0,3,3
teamsters,0,1,1
teamtrum,0,1,1
teamtrump,7,15,22
teamtrumppa,0,1,1
teamtrumptext,0,3,3
teamusa,0,2,2
teamvortex,0,1,1
teamwork,0,5,5
teaparty,0,1,1
tearing,2,7,9
tears,11,4,15
tease,1,1,2
teasing,0,1,1
tecate,0,1,1
tech,2,15,17
technical,4,1,5
technician,1,0,1
techno,1,0,1
technocratic,0,1,1
technologies,0,3,3
technology,3,19,22
ted,71,106,177
tedcruz,2,2,4
teddy,1,0,1
tedious,0,1,1
tedros,0,1,1
tee,0,4,4
teen,2,1,3
teenage,0,2,2
teens,1,1,2
teeth,2,0,2
tehran,1,0,1
tel,2,1,3
tele,0,3,3
telease,1,0,1
telecast,0,1,1
telecom,1,0,1
telecommunications,0,1,1
teleconference,0,6,6
telefnica,0,1,1
telegram,0,1,1
telehealth,0,7,7
telemedicine,1,1,2
telephone,6,7,13
teleprompte,6,2,8
teleprompter,0,1,1
telepromte,2,0,2
televise,0,1,1
televised,2,0,2
television,32,42,74
telework,0,1,1
tell,61,104,165
telle,0,2,2
tellen,0,1,1
tellin,0,2,2
telling,18,41,59
tellingitlikeitis,0,1,1
tells,5,23,28
telly,0,1,1
temp,0,1,1
tempe,2,2,4
temperament,4,2,6
temperatures,2,3,5
temperment,1,0,1
tempo,0,1,1
temporarily,1,5,6
temporary,1,0,1
tenacious,0,3,3
tenacity,0,1,1
tend,0,2,2
tendered,1,0,1
tenfold,3,1,4
tenn,0,1,1
tennesse,1,0,1
tennesseans,1,1,2
tennessee,11,50,61
tennis,0,5,5
tens,14,16,30
tense,1,0,1
tension,0,1,1
tensions,2,2,4
tent,0,2,2
tenuous,0,1,1
tenure,1,3,4
tepid,0,1,1
teresa,1,0,1
term,31,47,78
terminal,0,2,2
terminate,3,7,10
terminated,12,7,19
terminating,2,1,3
termination,1,1,2
terminations,0,1,1
terms,15,14,29
terrace,0,1,1
terre,0,2,2
terrell,1,1,2
terrence,0,5,5
terrible,202,27,229
terriblebad,1,0,1
terribly,3,1,4
terrific,2,45,47
terrified,1,3,4
terrify,0,1,1
terrifying,0,1,1
terrifyingly,0,1,1
terris,0,1,1
territorial,0,1,1
territories,0,1,1
territory,2,11,13
terro,36,19,55
terroist,1,0,1
terroris,1,1,2
terrorism,24,33,57
terrorist,42,25,67
terroristal,1,0,1
terroristist,0,1,1
terrorists,20,26,46
terrorize,1,0,1
terry,2,3,5
tes,1,0,1
tesla,0,2,2
tessle,0,1,1
test,16,15,31
testament,0,1,1
teste,4,13,17
tested,6,8,14
testified,9,14,23
testifies,0,4,4
testify,34,20,54
testifying,6,5,11
testimo,0,1,1
testimonies,1,0,1
testimony,37,42,79
testing,30,63,93
tests,10,16,26
texan,0,2,2
texans,0,6,6
texas,41,177,218
texasstrong,1,1,2
text,11,12,23
texted,1,2,3
texts,10,5,15
texttrump,0,1,1
tf,1,0,1
tgdn,0,1,1
th,88,298,386
tha,3,4,7
thad,2,0,2
thai,0,1,1
thailand,1,5,6
thank,39,2352,2391
thankafirefighte,0,1,1
thankatrucke,0,1,1
thankavet,0,2,2
thankaveteran,0,1,1
thanked,1,3,4
thankful,1,18,19
thankfully,0,2,2
thanking,1,5,6
thanks,26,439,465
thanksfordelivering,0,1,1
thanksgiving,6,18,24
thanksgivings,1,0,1
thankspresidenttrump,1,0,1
thanku,0,1,1
thankyou,0,2,2
thankyoutou,1,11,12
thanniversary,0,7,7
thatcher,0,1,1
thats,11,18,29
thbewithyou,0,1,1
thdc,0,1,1
theapprentice,6,8,14
theartofthedeal,0,1,1
theate,2,3,5
theaters,0,1,1
theatre,0,1,1
theatrics,0,1,1
theb,0,1,1
thebachelo,1,1,2
thecelebrityapprentice,0,2,2
thedonald,0,7,7
thedonaldforpres,0,1,1
thedoniscoming,0,1,1
thefive,2,6,8
theft,9,2,11
thehill,1,2,3
thei,747,691,1438
theirs,1,3,4
themccarthyrepo,0,1,1
theme,5,7,12
themselve,1,0,1
thendems,1,0,1
theodore,0,1,1
theonly,0,1,1
theoretical,1,0,1
theories,2,5,7
theorist,0,1,1
theorists,1,0,1
theory,3,7,10
theprofit,0,1,1
therapeutic,0,1,1
therapeutics,1,4,5
therapies,0,1,1
therapists,1,0,1
therapy,1,1,2
theremembranceproject,0,1,1
thereof,1,0,1
theres,7,2,9
theresa,2,6,8
theresas,0,1,1
therightview,0,1,1
thes,1,0,1
thesmartguy,0,1,1
thetonightshow,0,1,1
thetrump,0,3,3
theyare,1,0,1
theyll,0,2,2
theyre,3,4,7
theyrmad,1,0,1
theyve,0,4,4
thi,1,2,3
thickens,0,1,1
thickheaded,0,1,1
thief,1,1,2
thiel,0,2,2
thiessen,0,4,4
thieves,2,0,2
thing,131,146,277
thingnot,1,0,1
thingputin,0,1,1
things,152,243,395
think,170,287,457
thinkbig,0,1,1
thinke,1,2,3
thinkers,1,1,2
thinking,26,38,64
thinks,21,26,47
thinnest,0,2,2
thirds,1,1,2
thirty,1,1,2
thisamerica,1,0,1
thistasked,1,0,1
thless,1,0,1
thnx,0,2,2
tho,1,3,4
thofjuly,0,1,1
thom,2,6,8
thomas,3,7,10
thompson,1,0,1
thomson,0,1,1
thornberry,0,1,1
thorns,0,1,1
thoroughly,3,4,7
thos,0,1,1
thou,0,1,1
thoug,0,1,1
thought,84,60,144
thoughtful,0,2,2
thoughtfulness,0,1,1
thoughts,48,32,80
thousand,3,4,7
thousands,50,94,144
thre,1,0,1
thread,2,6,8
threat,19,25,44
threaten,6,7,13
threatened,4,5,9
threatening,8,10,18
threatens,2,2,4
threats,5,13,18
threshold,1,3,4
threw,2,3,5
thrill,0,1,1
thrilled,4,29,33
thrive,2,7,9
thrived,1,1,2
thrives,2,1,3
thriving,2,17,19
throat,1,0,1
throne,1,0,1
throu,0,1,1
throug,1,0,1
throughly,0,1,1
throw,6,10,16
throwback,0,2,2
throwbackthursday,0,4,4
throwbackthursdays,0,1,1
throwing,1,6,7
thrown,16,4,20
throws,3,2,5
thts,1,0,1
thu,2,1,3
thug,1,2,3
thugs,14,13,27
thumbs,1,1,2
thunberg,1,0,1
thunde,1,8,9
thunders,0,1,1
thurs,0,2,2
thursday,4,43,47
thursdays,1,0,1
thwa,0,2,2
thx,0,15,15
tiananmen,1,0,1
tick,1,1,2
ticket,7,16,23
tickets,5,72,77
ticking,0,2,2
ticktock,0,1,1
tide,2,5,7
tie,1,7,8
tied,14,8,22
tiegen,0,1,1
tiene,0,1,1
ties,6,16,22
tiff,0,1,1
tiffany,0,21,21
tiffanys,0,1,1
tige,3,16,19
tigers,0,8,8
tight,4,2,6
tighte,0,1,1
tightened,4,0,4
tightening,10,10,20
tijuana,1,0,1
tiktok,1,0,1
til,2,4,6
till,1,13,14
tillerson,5,7,12
tillis,1,2,3
tim,16,16,32
timbe,1,1,2
time,453,834,1287
timeby,1,0,1
timed,1,0,1
timeforprogress,0,1,1
timeless,0,3,3
timeline,1,1,2
timely,0,1,1
times,137,150,287
timeset,0,1,1
timetable,0,1,1
timetogettough,0,3,3
timing,5,9,14
timken,0,1,1
timothy,0,1,1
timpf,0,1,1
tingle,1,0,1
tiny,9,7,16
tip,1,4,5
tipo,1,0,1
tips,1,4,5
tiptoe,1,0,1
tire,0,2,2
tired,27,17,44
tireless,1,5,6
tirelessly,0,6,6
tisa,0,1,1
title,1,3,4
tixs,1,0,1
tking,1,0,1
tlaib,8,2,10
tmdharvey,0,1,1
tmobile,3,0,3
tmrw,0,1,1
tmz,0,1,1
tn,2,7,9
tnget,0,1,1
toast,1,2,3
toaste,1,0,1
toasted,0,2,2
tock,1,1,2
toda,0,2,2
today,253,1006,1259
todays,1,5,6
todaywe,0,1,1
todd,13,18,31
toddlers,0,1,1
todds,1,0,1
todos,0,1,1
toe,0,1,1
toeing,0,1,1
toget,0,1,1
togeth,0,2,2
togethe,79,304,383
togetherapa,1,3,4
togetherapart,0,1,1
toilet,1,1,2
toknow,1,0,1
tokyo,0,4,4
told,100,91,191
toledo,0,8,8
tolerance,0,2,2
tolerate,4,2,6
tolerated,4,0,4
tolerates,1,0,1
toll,1,0,1
tolls,1,0,1
tom,19,87,106
tomarrow,0,1,1
tomfazios,0,1,1
tomi,0,1,1
tommy,0,8,8
tomorrow,49,337,386
tomorrowbig,1,0,1
tomorrowfletche,0,1,1
tomorrowheres,0,1,1
tomorrows,0,3,3
ton,0,4,4
tone,2,7,9
tones,3,0,3
tongue,1,1,2
toni,1,0,1
tonight,68,574,642
tonightpresident,0,1,1
tonights,0,6,6
tonightyou,0,2,2
tonite,2,1,3
tons,1,5,6
tony,1,16,17
toobin,0,1,1
took,97,84,181
tool,8,18,26
toolbox,0,1,1
toolkit,0,1,1
tools,2,2,4
toon,1,0,1
tooth,1,0,1
topathway,0,1,1
topeka,0,1,1
topic,3,4,7
topics,3,9,12
topnotch,0,1,1
topped,0,2,2
topping,0,2,2
tops,2,8,10
torch,0,1,1
torched,0,2,2
torches,1,0,1
tore,0,2,2
torn,3,1,4
tornado,2,1,3
tornadoes,5,8,13
tornados,0,1,1
toronto,0,3,3
torontostrong,1,0,1
torres,0,1,1
torture,1,0,1
tortured,2,1,3
torturing,1,0,1
toss,0,2,2
tossed,1,1,2
tota,1,0,1
total,166,364,530
totaled,0,1,1
totaling,0,1,1
totalitarianism,1,0,1
totalitarians,0,1,1
totally,212,180,392
totals,0,1,1
totaly,1,0,1
tote,0,1,1
toting,0,1,1
totrump,0,1,1
tou,5,24,29
touch,14,8,22
touchdown,1,0,1
touched,5,5,10
touches,1,2,3
touching,3,1,4
tough,94,140,234
toughe,15,21,36
toughen,0,1,1
toughest,1,4,5
toughness,0,3,3
toughpresident,0,1,1
toughtimes,0,1,1
toured,0,3,3
touring,1,3,4
tourism,0,1,1
tourist,0,2,2
tourists,2,1,3
tournament,0,4,4
tournaments,0,1,1
tours,0,2,2
touted,0,1,1
touting,1,2,3
touts,1,2,3
tova,0,1,1
tow,1,0,1
towar,0,1,1
towe,9,51,60
towering,0,1,1
towers,1,1,2
town,15,33,48
townhall,0,3,3
towns,3,3,6
township,0,5,5
toxic,0,2,2
toy,1,0,1
toyota,0,5,5
toys,1,0,1
tp,1,0,1
tpa,0,1,1
tpp,16,9,25
tps,1,0,1
tqcnawjp,1,0,1
tr,0,4,4
tra,0,2,2
trace,1,0,1
tracing,3,0,3
track,7,38,45
tracke,0,1,1
tracking,0,6,6
tracks,3,1,4
traction,0,1,1
tractors,0,1,1
trade,168,343,511
tradecraft,1,0,1
tradedeals,0,1,1
trademarked,0,1,1
trading,1,8,9
tradition,2,7,9
traditional,2,6,8
traditions,0,4,4
traffic,9,11,20
trafficked,0,1,1
traffickers,5,8,13
trafficking,9,18,27
traffickinggang,1,0,1
tragedies,1,2,3
tragedy,16,6,22
tragic,17,2,19
tragically,1,0,1
trai,0,1,1
trail,7,14,21
trailblaze,0,1,1
trailblazing,0,2,2
train,19,17,36
trained,3,8,11
training,3,9,12
trains,1,1,2
trainwreck,0,1,1
traito,3,2,5
traitors,1,2,3
trajectory,0,1,1
tramp,0,1,1
trample,0,1,1
trampled,0,2,2
tran,0,1,1
trans,5,2,7
transaction,2,5,7
transactions,2,1,3
transcribed,1,2,3
transcript,33,58,91
transcriptlive,0,1,1
transcripts,13,36,49
transcrpt,1,0,1
transfe,0,2,2
transferred,0,1,1
transferring,0,2,2
transfers,0,2,2
transform,1,4,5
transformation,0,1,1
transformed,0,1,1
transforming,0,2,2
transgende,0,3,3
transit,3,17,20
transition,6,13,19
transitioning,0,1,1
translato,0,1,1
transmission,2,1,3
transmitted,1,0,1
transpaency,1,0,1
transparency,19,15,34
transparent,6,2,8
transplant,0,1,1
transpo,1,0,1
transportation,1,6,7
trap,6,1,7
trapped,2,0,2
trappings,1,0,1
traps,1,0,1
tras,0,1,1
trash,5,2,7
trashed,1,0,1
trashes,1,1,2
trashing,2,3,5
trashy,2,0,2
tratado,0,1,1
trauma,1,0,1
traunch,0,1,1
travel,12,44,56
travele,0,1,1
traveled,2,7,9
travelers,0,4,4
travelerschoice,0,2,2
traveling,0,11,11
travelled,0,2,2
travellers,0,1,1
travelling,0,1,1
travels,0,3,3
travesty,4,1,5
travis,0,4,4
tre,1,0,1
treacherous,0,1,1
tread,0,2,2
treading,0,1,1
treason,10,15,25
treasonous,8,1,9
treasu,0,1,1
treasure,1,13,14
treasured,0,1,1
treasures,0,1,1
treasury,4,14,18
treat,12,25,37
treated,62,38,100
treaties,1,0,1
treating,4,5,9
treatment,9,13,22
treatments,1,3,4
treats,2,2,4
treaty,3,4,7
tree,3,5,8
trees,0,1,1
treeted,0,1,1
trek,1,0,1
tremendous,42,182,224
tremendously,2,2,4
trend,3,4,7
trending,4,6,10
trey,3,6,9
treygowdypodcast,0,1,1
tri,0,1,1
triage,0,1,1
trial,43,46,89
trials,0,2,2
tribal,2,5,7
tribe,1,3,4
tribulations,0,1,1
tribune,1,1,2
tribute,4,18,22
tributes,0,1,1
trice,0,1,1
trick,4,7,11
tricks,5,4,9
tricky,1,1,2
trident,1,1,2
tried,66,9,75
tries,7,14,21
trifecta,1,0,1
trigge,1,1,2
triggered,1,7,8
triggering,0,1,1
trill,1,0,1
trillion,21,25,46
trillionaugust,0,1,1
trillions,3,6,9
trio,0,3,3
trip,10,33,43
triple,2,1,3
trips,2,0,2
trish,1,2,3
tristan,0,1,1
triumph,1,6,7
triumphant,1,4,5
triumphs,0,2,2
trivial,2,1,3
trojan,1,1,2
troll,1,0,1
trolling,1,0,1
tromps,0,1,1
trong,0,1,1
troop,3,0,3
troope,0,1,1
troopers,0,1,1
troops,21,42,63
trope,0,1,1
trophy,1,9,10
tropic,1,0,1
tropical,4,10,14
tropicana,0,1,1
trouble,28,17,45
troubled,3,1,4
troublemake,0,1,1
troublemaker,1,0,1
troublemakers,3,1,4
troubling,0,3,3
trough,0,1,1
trounced,3,0,3
trounces,0,3,3
trouncing,1,0,1
trove,1,2,3
troy,7,22,29
trrrible,1,0,1
tru,0,3,3
truce,0,1,1
truck,2,5,7
truckers,0,3,3
trucking,0,1,1
trucks,1,4,5
trudeau,2,3,5
true,114,333,447
truly,49,152,201
trum,0,1,1
truman,1,4,5
trumka,2,1,3
trump,948,3788,4736
trumpachusetts,0,1,1
trumpadvice,0,6,6
trumparmy,0,3,3
trumpatrjc,0,1,1
trumpboom,0,1,1
trumpbux,1,0,1
trumpcard,0,2,2
trumpcares,1,0,1
trumpchicago,0,1,1
trumpcollection,0,1,1
trumpcountry,0,1,1
trumpcruz,0,1,1
trumpdallas,0,1,1
trumpderangementsyndrome,0,1,1
trumpdog,0,1,1
trumpdoral,0,1,1
trumpe,8,3,11
trumped,1,2,3
trumpenomics,0,1,1
trumpers,6,8,14
trumpets,0,2,2
trumpfan,0,1,1
trumpferrypoint,0,1,1
trumpforamerica,0,1,1
trumpforpresident,3,36,39
trumpforprez,1,3,4
trumpfortriumph,0,1,1
trumpgolf,0,1,1
trumphotel,0,1,1
trumpinal,0,1,1
trumpinaug,1,0,1
trumpineverett,0,1,1
trumpinstagram,0,1,1
trumpisawesome,0,1,1
trumpisnotadocto,1,0,1
trumpisright,0,1,1
trumpiswithyou,0,1,1
trumpleeds,0,1,1
trumplife,0,1,1
trumplv,0,1,1
trumpmeister,2,0,2
trumpmilwaukeerally,0,1,1
trumpminneapolis,1,2,3
trumpmobile,1,0,1
trumpmovement,0,1,1
trumpmypresident,0,2,2
trumpnation,0,1,1
trumpnationalcharlotte,0,1,1
trumpnow,0,1,1
trumpocrats,0,1,1
trumpon,1,0,1
trumponcnn,0,1,1
trumponly,0,1,1
trumponomics,0,2,2
trumponsnl,0,2,2
trumpophobes,0,1,1
trumppence,2,37,39
trumppets,0,1,1
trumppotus,0,1,1
trumprally,0,10,10
trumprallyal,0,1,1
trumprallycotext,0,1,1
trumprallydallas,1,2,3
trumprallyhershey,1,0,1
trumprallymilwaukee,0,1,1
trumprallynj,0,1,1
trumprallyphoenix,0,2,2
trumprallytickets,0,1,1
trumpread,0,1,1
trumprocks,0,1,1
trumprocksamerica,1,0,1
trumprussia,0,2,2
trumps,10,30,40
trumpspeech,0,1,1
trumpswagge,0,1,1
trumptennis,0,1,1
trumptforpresident,0,1,1
trumpthecompetition,0,1,1
trumpthis,0,1,1
trumptime,0,1,1
trumptoday,1,4,5
trumptowe,1,2,3
trumptowerny,0,1,1
trumptowernyc,0,1,1
trumptownhall,3,2,5
trumptrain,7,38,45
trumptrainsnl,0,2,2
trumptraintickets,0,1,1
trumpturnberry,0,2,2
trumpu,0,1,1
trumpukvisit,0,1,1
trumpvlog,3,3,6
trumpwaikiki,0,1,1
trumpwas,0,1,1
trumpwon,0,2,2
trumpworthy,0,1,1
trumpy,1,2,3
trus,0,1,1
trust,17,42,59
trusted,11,6,17
trusts,1,0,1
trustworthy,0,2,2
truth,58,146,204
truthe,0,1,1
truthful,6,4,10
truthfully,1,0,1
truthfulness,0,2,2
truthhurts,1,0,1
truths,0,3,3
truthtrump,0,1,1
try,59,63,122
